Come in!	Qǐng jìn!	请进！
They taught us how to raise bees.	Tāmen jiāo wǒmen zěnme yǎng fēng.	他们教我们怎么养蜂。
Selling honey, this alone conservatively speaking brings in several thousand bucks.	Mài fēngmì zhè yíxiàng, shǎoshuō yào shōurù jǐ qiān kuài qián.	卖蜂蜜这一项，少说要收入几千块钱。
Forget the fruit tree income, selling honey...	Guǒshù de shōurù búyòng shuō, mài fēngmì...	果树的收入不用说，卖蜂蜜...
We there are lacking this.  (had to buy the book here)	Wǒmen nàr jiù quē zhège.	我们那儿就缺这个。
Bring the dictionary to use when translating.	Dài cídiǎn, fānyì de shíhòu hǎo yòng.	带词典，翻译的时候好用。
I go to sleep a little early today to wake up a little early tomorrow.	Jīntiān wǒ zǎo diǎnr shuìjiào, míngtiān hǎo zǎo diǎnr qǐlái.	今天我早点儿 睡觉，明天好早点儿 起来。
It's nearly 7, he quickly climbs out of bed.	Kuài qīdiǎn le, tā liánmáng cóng chuángshang páqǐlái.	快七点了，他连忙从床上爬起来。
She quickly consults with her husband.	Tā liánmáng gēn zhàngfu shāngliang.	她连忙跟丈夫商量。
What's the fuss about?	Yǒu shénme dàjīngxiǎoguàide?	有什么大惊小怪的？
There aren't new word, but notwithstanding I can't understand it.  (reading passage)	Suīrán méiyǒu shēngcī, dànshi wǒ réngrán dúbudǒng.	虽然没有生词，但是我仍然读不懂。
He's wearing a cheongsam.	Tā chuān chángshān.	他穿长衫。
He puts on the airs of a scholar.	Tā bǎi dúshūrén de jiàzi.	他摆读书人的架子。
This sentence is satirizing him?	Zhè jù huà de yìsi shi fěngcì tā ba?	这句话的意思是讽刺他吧？
In this novel he exposed feudal society.	Zài zhè běn xiǎoshuoli tā jiēlù le fēngjiàn shèhuì.	在这本小说里他揭露了封建社会。
I've seen stage plays and TV plays.	Wǒ kànguo huàjù hé diànshìjù.	我看过话剧和电视剧。
There's material there on all the famous modern Chinese authors.	Zhōngguó xiàndài yǒumíng zuòjiā de zīliào nàr dōu yǒu.	中国现代有名作家的资料那儿都有。
We felt as if we'd come to a literary treasure house.	Wǒmen juéde láidàole yízuò wénxué bǎokù.	我们觉得来到了一座文学宝库。
A guide gave us an introduction to his works.	Yíwèi jiǎngjiěyuán gěi wǒmen jièshào tā de zuòpǐn.	一位讲解员给我们介绍他的作品。
You can find out about the times they lived in.	Nǐ kěyǐ liǎojiě tāmen shēnghuó de shídài.	你可以了解他们生活的时代。
Indicating the copper door knob, she said: ...	Tā zhǐzhe ménshang de tóng bǎshou shuō: ...	他指着门上的铜把手说：...
This was made on the pattern of his right hand.	Zhè shi àn tā yòushǒu de móxíng zuòde.	这是按他右手的模型做的。
I thought to myself: Revered Mr. Ba Jin, how do you do?	Wǒ xīnlǐ xiǎng: zūnjìng de bājīn xiānsheng, nín hǎo!	我心里想：尊敬的巴金先生，您好！
You'd best not go.	Nǐ háishi bié qù.	你还是别去。
If only you'd said a word to me.	Yàoshi nǐ gàosu wǒ yíshēng jiù hǎole.	要是你告诉我一声就好了。
That's why they say nothing lasts forever.  (lit. every show ends)	Yàobù zěnme shuō tiānxià méiyǒu bú sàn de xì ne.	要不怎么说天下没有不散的戏呢。
You keep on being unwilling to buy car insurance.	Ní jiùshi bù kěn mǎi qìchē bǎoxiǎn.	你就是不肯买汽车保险。
If you had an accident, how would you afford the damages?	Yàoshi chūle chēhuò, kàn nǐ zěnme péideqǐ?	要是出了车祸，看你怎么赔的起？
Success is not a big deal, nothing to brag about.	Chénggōng jiù chénggōng le bei, yǒu shénme hǎo chuī de.	成功就成功了呗，有什么好吹的。
Around here it hasn't changed much.	Zhè fùjìn méiyǒu shénme biànhuà.	这附近没有什么变化。
Please say it another way.	Qǐng nǐ huàn yíge shuōfǎ.	请你换一个说法。
He got to be an adult.	Tā chéngnián le.	他成年了。
What does he mean?  (e.g. when he says that)	Tā shi shénme yìsi ne?	他是什么意思呢？
Sorry to hear it.  (your bad news)	Zhēn yíhàn.	真遗憾。
When he was alive we often went to his house for a reunion.	Tā zàishì de shíhou, wǒmen chángchang dào tā jiā tuánjù.	他在世的时候，我们常常到他家团聚。
When he ate things, the moustache on his lip moved too.	Tā chī dōngxi shí, zuǐchúnshang de húzi yě gēnzhe dòng.	他吃东西时，嘴唇上的胡子也跟着动。
Your nose is flat and even.	Nǐde bízi yòu biǎn yòu píng.	你的鼻子又扁又平。
I hit a few snags (lit. walls), which flattened out my nose.	Wǒ pèngle jǐ cì bì, bǎ bízi pèngbiǎnle.	我碰了几次壁，把鼻子碰扁了。
If it's dark all around, isn't it easy to hit a snag?  (lit. bump a wall)	Sìzhōu wéi hēihēide, hái bù róngyi pèngbì ne?	四周围黑黑的，还不容易碰壁呢？
A bullet went through the wall, leaving a hole on it.	Zǐdàn chuānguò qiángbì, liúxià le yígè dòngyǎnr。	子弹穿过墙壁，留下了一个洞眼儿。
One evening, a northwest wind was blowing.	Yìtiān bàngwǎn, guāzhe xīběi fēng.	一天傍晚，刮着西北风。
I saw a rickshaw puller sitting moaning on the ground.	Wǒ kànjiàn yíge lāchēde zuò zài dìshang shēnyín.	我看见一个拉车的坐在地上呻吟。
He raised up his head, apparently in great pain.	Tā tái-qǐ-tóu-lái, hǎoxiàng hěn tòngkǔ de yàngzi.	他抬起头来，好像很痛苦的样子。
A chip of glass jabbed the arch of my foot.	Bōli piànr zhājìn jiǎoxīn le.	玻璃片儿扎进脚心了。
He came out with medicine and bandages.	Tā nále yào hé shābù chūlái.	他拿了药和纱布出来。
We gave him the leftover bandages.	Wǒmen bǎ shèngxiàde shābù gěi le tā.	我们把剩下的纱布给了他。
When night fell, the store seemed (against expectations) just the same as in the day.	Dàole yèwǎn, shāngdiàn réngrán xiàng báitiān yíyàng.	到了夜晚，商店仍然像白天一样。
Setting out at 8 is too early, better make it 9.	Bā diǎn chūfā tài zǎo, háishi jiǔdiǎn ba.	八点出发太早，还是九点吧。
It would be better if everyone discussed it together.	Háishi dàjiā zài yìqǐ tǎolùn hǎo.	还是大家在一起讨论好。
Having seen lots, this store's things are the relatively cheap ones.	Kànle hǎo jǐ jiā, háishi zhè jiā shāngdiàn de dōngxi bǐjiào piányi.	看了好几家，还是这家商店的东西比较便宜。
Unless you've personally tasted an apple, you don't know the flavor of one.	Bù qīnzì chángchang píngguǒ, jiù bù zhīdào píngguǒ de wèidao.	不亲自尝尝苹果，就不知道苹果的味道。
If you lose you lose, no reason to get discouraged.	Shūle jiu shūle bei, méiyǒu shénme hǎo huīxīnde.	输了就输了呗，没有什么好灰心的。
As soon as I looked at it I broke out in a cold sweat all over.	Yí kàn xià chū le wǒ yì shēn lěng hàn.	一看吓出了我一身冷汗。
Bad people can turn into good people.	Huàirén néng biànchéng hǎorén.	坏人能变成好人。
Your ideological consciousness is out of date.	Nǐde sīxiǎng yìshi tài jiù.	你的思想意识太旧。
The government should come up with ways to improve the lives of the people.	Zhèngfǔ yīnggāi shèfǎ gǎishàn rénmín de shēnghuó.	政府应该设法改善人民的生活。
Some stores say buy one get one, if it isn't little combs, it's little mirrors.	Yóu xiē shāngdiàn shuō mǎi yī sòng yī, búshì sòng xiǎo shūzi, jiùshi sòng xiǎo jìngzi.	有些商店说买一送一，不是送小梳子，就是送小镜子。
You yourself pick whatever you want.	Nǐ zìjǐ suíbiàn tiāoxuǎn.	你自己随便挑选。
Our merchandise is factory direct.	Wǒmen shi zhíjiē cóng gōngchǎng jìn de huò.	我们是直接从工厂进的货。
Even if you run all over Beijing, you won't find anywhere cheaper than here.	Jíshǐ nǐ pǎobiànle běijīngchéng, yě zhǎobuzháo bǐ zhèr gèng piányide.	即使你跑遍了北京成，也找不着比这儿 更便宜的。
If I sell like that, I'll take a loss.	Wǒ zhème mài yào péiběn.	我这么卖要赔本。
The price I'm selling at is practically the cost of goods.	Wǒ mài de jià, jīhū jiùshi jìnhuòjià.	我卖的价，几乎就是进货价。
She was laid off from a textile factory.	Tā cóng yì jiā fǎngzhī gōngchǎng xiàgǎng le.	她从一家纺织工厂下岗了。
Gently, gently, it'll be over in a jiffy.	Hěn qīng, hěn qīng.  Yíxiàzi jiù hǎole.	很轻，很轻。一下子就好了。
Before I knew it, I was drunk.	Yíxiàzi jiù hē duō le.	一下子就喝多了。
They said her age was a bit high.	Tāmen shuō tā niánlíng dàle diǎnr.	他们说她年龄大了点儿。
She didn't lose confidence.	Tā méiyǒu shīqù xìnxīn.	她没有失去信心。
She set up a little stall selling children's toys.	Tā bǎi ge xiǎo tānzi, mài xiē xiǎohái wánjù.	她摆个小摊子，卖些小孩玩具。
She opened a stationery store.	Tā kāile yíge wénjùdiàn.	她开了一个文具店。
I wrote a letter praising her service attitude.	Wǒ xiěle xìn, zànyáng tā de fúwǔ tàidu.	我写了信，赞扬她的服务态度。
She opened the first chain store and recruited six laid-off women workers.	Tā kāile dìyī jiā liánsuǒdiàn, zhāopìnle liù wèi xiàgǎng nǚgōng.	她开了第一家连锁店，招聘了六位下岗女工。
They became much more well-off than before.	Tāmen bǐ yǐqián fùyù duō le.	他们比以前富裕多了。
I'm planning to open a stationery superstore. (lit. supermarket)	Wǒ dǎsuàn kāi yì jiā wénjù chāoshì.	我打算开一家文具超市。
Life will be even finer.  (when I get my car)	Shēnghuó huì gèngjiā měihǎo.	生活会更加美好。
You definitely need to take good care of your belongings when you ride the bus.	Zài chēshang yídìng yào bǎoguǎn hǎo zìjǐ de suíshēn wùpǐn.	在车上一定要保管好自己的随身物品。
He always takes a digital camera with him.	Tā suíshēn dàizhe shùmǎ xiāngjī.	他随身带着数码相机。
He's always as good as his word, never reneges.	Tā yíxiàng shuō shénme jiùshi shénme, cóng bù fǎnhuǐ.	他一向说什么就是什么，从不反悔。
Our tax system still needs to be improved.	Wǒmen de shuìshōu zhìdù, réng děi gǎijìn.	我们的税收制度，仍得改进。
He goes directly to find the CEO to talk about it.	Tā zhíjiē qù zhǎo zǒngjīnglǐ tán.	他直接去找总经理谈。
He loses the opportunity, loses confidence.	Tā shīqù jīhuì, shīqù xìnxīn.	他失去机会，失去信心。
I won a prize; the company wants me to go pick up my prize.	Wǒ zhòngjiǎng le.  Nà jiā gōngsī ràng wǒ qù qǔ jiǎngpǐn.	我中奖了。那家公司让我去取奖品。
You are our company's third place winner.	Nǐ chéngwéi wǒmen gōngsī dìsānmíng zhòngjiǎngzhě.	你成为我们公司第三名中奖者。
He already started eating.	Tā yǐjīng chīshangle.	他已经吃上了。
I read books every night for four hours.	Wǒ měitiān wǎnshàng kàn shū kàn sìge xiǎoshí.	我每天晚上看书看四个小时。
I slept for eight hours. (two ways)	Wǒ shuìjiào shuìle bā ge zhōngtóu. Wǒ shuìle bā ge zhōngtóu de jiào. 	我睡觉睡了八个钟头。| 我睡了八个钟头的觉。
I waited for him for ten minutes.	Wǒ děng tā děngle shí fēnzhōng.	我等他等了十分钟。
I've been waiting for him for three hours.	Wǒ děng tā yǒu sān ge xiǎoshí le.	我等他有三个小时了。
Many goods are bought with coupons, to buy clothes you need cloth coupons.	Bùshǎo shāngpǐn yào píng piào mǎi, mǎi yīfu yào bùpiào.	不少商品要凭票买，买衣服要布票。
Whoever's house has a black and white TV is deeply envied by the neighbors.	Shéi jiā yǒu yì tái hēibái diànshìjī, línjūmen dōu xiànmù sǐle.	谁家有一台黑白电视机，邻居门都羡慕死了。
His child is studying at his own expense abroad.	Tāde háizi zìfèi chūguó liúxué.	他的孩子自费出国留学。
There's an imported one.	Yǒu jìnkǒude.	有进口的。
When did China join the WTO?	Zhōngguó shi shénme shíhou jiārù shìjie màoyì zǔzhī de?	中国是什么时候加入世界贸易组织的？
What they're worried about is being unable to sell off the merchandise.	Tāmen chóu de shi shāngpǐn màibuchūqù.	他们愁的是商品卖不出去。
They have other ways (of selling), like giving discounts, (associated) lotteries, ...	Tāmen yǒu biéde bànfǎ, xiàng dǎ zhékòu, mǎi dōngxi chōujiǎng, ...	他们有别的办法，像打折扣，买东西抽奖，...
It's a pedestrian commercial street.	Shi yìtiáo bùxíng shāngyè jiē.	是一条步行商业街。
I'd like to discuss your job application.	Wǒ xiǎng tán nǐ de qiúzhí wèntí.	我想谈你的求职问题。
Would you like something to drink?  No thanks.	Nǐ xiǎng hē diǎnr shénme?  Búyòngle, xièxie.	你想喝点儿什么？不用了，谢谢。
You know that our company's marketing development department is hiring a director.	Nǐ zhīdào běn gōngsī shìchǎng kāifābù yào zhāopìn jīnglǐ.	你知道本公司市场开发部要招聘经理。
I take part in all kinds of business affairs.	Wǒ cānjiā gèzhǒng shāngwù huódòng.	我参加各种商务活动。
This position requires specialized knowledge of commercial/industrial management.	Zhège zhíwù yāoqiú yǒu gōngshāng guǎnlǐ de zhuānyè zhīshi.	这个职务要求有工商管理的专业知识。
He quickly adapted to the work environment here.	Tā hěn kuài de shìyìngle zhèlǐ de gōngzuò huánjìng.	他很快地适应了这里的工作环境。
We can quickly sign a work contract.	Wǒmen hěn kuài kěyǐ qiāndìng gōngzuò hétong.	我们很快可以签订工作合同。
I'd like to think it over a little more, is that all right?	Wǒ xiǎng zài kǎolǜ yíxià, kěyǐ ma?	我想再考虑一下，可以吗？
I hope you'll tell us your decision this same week.	Wǒ xīwàng nǐ zài běn xīngqi zhīnèi bǎ nǐ de juédìng gàosu wǒmen.	我希望你在本星期之内把你的决定告诉我们。
I formally offer your honorable company my job application.	Wǒ xiàng guì gōngsī zhèngshì tíchū qiúzhí de shēnqǐng.	我向贵公司正式提出求职的申请。
I'm responsible for Asian business relations.	Wǒ fùzé liánxì yàzhōu de yèwù.	我负责联系亚洲的业务。
I'm innovative.	Wǒ yǒu chuàngxīn jīngshén.	我有创新精神。
I resigned from the company job.	Wǒ cíqùle gōngsī de gōngzuò.	我辞去了公司的工作。
I believe I'm a good fit for this job.	Wǒ rènwéi běnrén hěn shìhé zhè xiàng gōngzuò.	我认为本人很适合这项工作。
Attached is my resume.	Fùshang běnrén de jiǎnlì.	附上本人的简历。
